"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L60"
"Trgc4",4.65759253220794,1.01502993409961e-170,1.77031370806313e-166,17.7215520796368,440.910510064109
"Sfrp4",-6.95769020980286,7.2907081470224e-156,6.35786203961088e-152,64.2546311617131,0.450371164713482
"Ifi27l2a",-3.27847324058656,7.47914203336038e-96,4.34812387346128e-92,5738.52843459285,577.098924938221
"Klrb1a",5.62343797109278,2.68962612644616e-93,1.17274423178369e-89,5.6745749686355,256.917718052427
"Ablim2",5.91889281701914,5.76869441978728e-73,2.0122359875102e-69,0.209050467850435,15.4876080678883
"Serpina3f",2.64192488617714,1.29765829853176e-67,3.77207639744873e-64,12.7103458386482,78.1449165500299
"Ccdc136",4.62325991110746,5.72598947808838e-66,1.42667117839056e-62,1.10324286573543,26.0427918391263
"Klrb1c",5.92662142045621,4.72304472996092e-61,1.02968278919061e-57,7.22869379612969,402.891247965825
"Adgrg5",2.76683133698269,3.97643153159326e-48,7.70588248250201e-45,7.28924622200799,46.9131952653555
"Serpina1a",4.38303376003578,1.76084186997391e-45,3.07108430542149e-42,0.548479580784936,11.7167990614307
"B3gnt7",3.40509046806791,1.41700138692411e-42,2.24672010812212e-39,0.593703943329059,6.28733522039189
"Serpina1b",4.24571349619629,2.40520982576419e-41,3.49577204759611e-38,0.505753345118111,9.69567379738892
"Arnt2",7.03343070516725,5.60153097939447e-41,7.5151001393553e-38,0.0896165996725583,2.53662001188392
"Cdh1",2.64851467367925,5.08102663549417e-40,6.32987039640384e-37,1.27756810979412,8.03025241772297
"Gm12253",-2.45726604410974,6.72227055047747e-40,7.81620804472517e-37,43.2026740128369,7.52226267810937
"Klra5",-2.39951712441403,3.78624048670907e-36,4.12723877054331e-33,20.6601045321832,3.55995000034596
"Ctnnd2",2.91775343109059,2.56886745809137e-35,2.63550690215127e-32,0.639451952998433,4.17527037163448
"Trgv1",4.34896762139364,2.95396505448817e-34,2.86222802862935e-31,2.03430706473969,43.075308352281
"P2rx7",3.70685316575725,3.93616241026463e-34,3.61318992618028e-31,3.25875814527453,31.3508468073871
"Matk",2.34773237581205,1.29216434466499e-33,1.12683191676511e-30,4.93083856027629,25.6704552829218
"Ifi208",-2.72489704743189,1.83487941114685e-33,1.52391103856249e-30,39.7801196947977,5.68731152872609
"Ly6a",-3.38497189484867,8.42788577366615e-33,6.68139798993233e-30,397.210587959092,36.3247641193584
"Fcer2a",3.16686414880433,1.38460305064045e-30,1.04995051331392e-27,1.1108679806508,10.1790631591461
"Ugt1a9",-4.78519693465392,4.24891622850193e-30,3.08772283088759e-27,3.31329776931731,0.110942767393432
"Ift80",-1.76954657723717,3.58818242966293e-29,2.4069803752212e-26,10.5958553500058,3.13429205518571
"Slfn1",-1.55924382328796,3.50091995149326e-29,2.4069803752212e-26,183.391165194369,59.7082161967775
