"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L7"
"Osgin1",4.92413309147502,1.10029821529875e-21,3.9148161399017e-19,88.7239295860088,2.90594899787707
"BC035947",3.81344290498632,1.48458388467728e-21,5.17644708909274e-19,2.92956321327416,0.19701520771553
"Osbpl3",2.40398971887255,6.42599607024712e-21,2.19668265664095e-18,48.1339854796268,8.62383227607381
"C1qa",3.41291126107359,7.66877047827056e-21,2.57110277919556e-18,27.1161091100996,2.40225695917182
"Spats2",3.57734343908922,9.80296931731471e-21,3.22462202034084e-18,1.76269448561725,0.12543622270385
"Abcb1a",2.67600834408492,1.15953694523502e-20,3.74358650059766e-18,8.55077348964604,1.34726347292731
"Cysltr2",2.39112149602074,1.39215981857202e-20,4.41289350490628e-18,34.705946544479,6.78731965910623
"Myo6",3.38220406865381,2.02065991138731e-20,6.29074730270115e-18,17.5340895400586,1.45189898860506
"Pdzk1ip1",-3.7442681083288,2.5312554410262e-20,7.7420890103247e-18,0.573181009593714,7.10975137351607
"Car2",3.84554907126788,3.37585864954066e-20,1.01473654648434e-17,377.731620886942,24.9113319740797
"Gbp10",3.38204286771942,4.83018547480503e-20,1.42727887402968e-17,40.7099326214348,4.37936162607306
"Crim1",2.24640702234559,5.8261340971746e-20,1.69288036416903e-17,2.43323362801113,0.475024308166323
"Mmp12",2.72377105436403,6.38124302652707e-20,1.82378017908972e-17,19.6323656583561,1.62889042647753
"Rbl2",1.70250733297174,7.47410411680598e-20,2.10166985761928e-17,32.0226062957298,9.03898864936339
"Epdr1",3.69425752218958,9.80130404506105e-20,2.71231642415229e-17,27.6108133826016,2.27885267180977
"Slamf9",2.60142677686721,1.62330271317849e-19,4.42197804711777e-17,6.37920777946324,0.979980960202989
"Abcb9",1.73811155159869,2.05647376152185e-19,5.51577900898031e-17,61.2155852650586,16.0803881315758
"Slc52a3",2.67809964642081,2.17743123731328e-19,5.75171760474541e-17,7.92855828358152,1.2011951779355
"Rapsn",2.3852908028386,2.24579745735038e-19,5.8437661002159e-17,9.00763804056199,1.63309519818757
"Efhd2",1.80298467437053,2.33545599798007e-19,5.98769703952713e-17,106.284871932107,28.787508858076
"Mctp2",2.46431864753115,2.51031129709199e-19,6.3427198773191e-17,4.22673602870831,0.943580519983292
"Slc39a4",2.17118134441065,2.9638317896336e-19,7.38163477435316e-17,13.2637687091354,2.8332272148868
"Il18bp",3.11570834920183,3.65099143366105e-19,8.84272992511755e-17,16.8695331929041,1.75263861440795
"Rtn4rl1",2.89407287879493,3.65192471382622e-19,8.84272992511755e-17,2.10599920140436,0.257521589617644
"Fasl",1.62451123975646,4.33201679077614e-19,1.03458055795057e-16,171.776123506699,52.1189218945039
"Nedd9",1.62245290368415,8.13485290140507e-19,1.91652737139319e-16,80.7552431725536,25.2755161483957
"Entpd1",3.28906347053329,9.07858196165471e-19,2.11034663892651e-16,79.6214978612536,8.43222066441463
"Sdcbp2",1.62040558188684,1.03479613699099e-18,2.37376787530276e-16,68.6465200385782,21.0013619043233
"Trerf1",2.3536828900547,1.09544081977195e-18,2.48024873401352e-16,2.45059475953006,0.448290134748219
"Ikzf3",1.46738006861736,2.3137957871132e-18,5.17163022468353e-16,108.795538739565,39.5549174292509
"Ripply3",3.22066599407962,4.72628963793794e-18,1.04301434870646e-15,7.26644578773617,0.721573857098066
"Kcnk5",1.55478152520719,7.03274460136372e-18,1.53261086725219e-15,11.0415996024602,3.51448162345302
"Tdg-ps2",4.39605317205951,9.93987650103034e-18,2.1394050236909e-15,4.67266760900043,0.195574068664531
"F2r",2.50864936567174,1.48431816682094e-17,3.1558052341898e-15,23.3743941147348,3.85695709116345
"Gm17764",2.03614242994982,3.16681640734517e-17,6.65184063200671e-15,137.971935957785,31.3258089049186
"Cd86",2.94168715510666,4.13028975330541e-17,8.57231804275315e-15,59.6277231724476,7.624748746262
"Klrd1",1.94374486456125,4.53240003484366e-17,9.29621908323109e-15,528.766386636351,129.192069125619
"Popdc2",-2.22979345135688,5.13290111372835e-17,1.04054648856675e-14,1.92365311323036,10.7694565355455
"Cish",3.61527332748941,6.29340032320185e-17,1.26113955442185e-14,32.195633691436,2.49420344885392
"Ildr1",2.15407996669494,7.90479853554196e-17,1.56604838259817e-14,16.6265176967809,3.4229864581079
"Ifit1bl1",3.42437514437808,1.0065578842078e-16,1.97172248913245e-14,75.9534061867229,6.65860055915492
