"","log2FoldChange","pvalue","padj","meanTPM_E5","meanTPM_L5"
"Dapk2",-3.7648842589369,9.19034677634027e-73,6.93941876588893e-70,30.543332964,2.1959933115678
"Ccr5",-4.02585382788554,3.89370669125983e-72,2.83115739862271e-69,72.7324919333733,6.73822092837668
"Ephx1",3.50780185357975,3.66242656536977e-70,2.56788422611926e-67,9.71524212841288,110.722664341579
"Prelid2",4.72719748973859,1.38485068340881e-69,9.37496159195924e-67,3.62438473503896,91.9101783683061
"Nrn1",7.91144056124454,7.42178784367388e-69,4.85681796490019e-66,0.801901933638283,179.899844302332
"Chst2",3.46541153937905,8.00207117932689e-69,5.06763423846921e-66,0.783316626700971,8.46703139780893
"Myo1e",3.77633090321104,8.2839327928097e-69,5.08219276838875e-66,1.01594017851773,13.4751270924837
"Ramp1",4.50389455108799,3.79264304914585e-65,2.25627782851004e-62,0.74134617325977,15.7029570016005
"Gm45716",4.059839958764,1.11879795874869e-63,6.4600710371042e-61,1.20366625960401,19.9831955202737
"Pdcd1lg2",4.22844483104785,3.17029137515276e-62,1.77826172219997e-59,0.879031835677149,16.4319848762224
"Egr2",3.55503301543981,8.23238410391483e-62,4.48939346466822e-59,1.22936863221458,13.7939166245239
"Dusp4",5.69471856260517,9.53963857507962e-61,5.06168066232333e-58,0.0931964985983875,4.95499373942656
"Hivep3",3.80287527566802,6.55291204780825e-60,3.38544129796241e-57,1.79974705779745,3.58192976477398
"Cacna1d",4.83053152892623,1.98167297866438e-57,9.97543690183054e-55,0.236277775521658,3.68336976805525
"Wfikkn2",-4.87326746726555,4.48269562456306e-57,2.20010701253555e-54,9.44161920591172,0.306421893678971
"Pcsk1",4.53829824260841,6.57592486543015e-55,3.14874529166158e-52,0.14845873825422,2.81482213389455
"Dapl1",4.36436431203861,5.39776223667791e-54,2.52306829120145e-51,23.1929802688482,497.030593560355
"Eya2",-4.05037307562568,5.94692473514552e-53,2.71511689303202e-50,11.3210772780046,0.712002913660931
"Arl4c",-3.36143599179368,8.34530752367656e-53,3.72352448420041e-50,22.9422606637049,2.09166361739495
"Adk",2.35192321750431,1.05526151541811e-52,4.60375423793075e-50,28.8194730467899,141.554758456049
"Marcksl1",4.54073508185093,1.37189313747322e-52,5.85500132062485e-50,0.803732670836221,19.5019269728258
"Ubash3b",2.89439562267696,8.86129140164681e-52,3.70138027227937e-49,7.28271817018089,52.9491139230773
"Slc4a1",-7.65858126018017,1.60312833345841e-51,6.55679488384488e-49,5.07107578895864,0.0238814635807929
"Fcgrt",-4.08235731050937,5.88198245438936e-51,2.35663427641983e-48,68.1333609985697,4.09375917481594
"Armc7",-3.19254822201958,6.59258941887037e-51,2.58851430942526e-48,180.405924846741,20.01873886482
"Igkc",-4.4984176987523,1.40351677574427e-50,5.40271398851208e-48,591.449445653545,25.0748421128964
"Gtf2i",-2.29121236493599,2.39899369470913e-50,9.05712388740953e-48,243.564563805355,29.6481007578507
"Tns1",3.29537771959584,6.34262273094457e-50,2.34940319724347e-47,1.13314427173946,11.8417568930563
"Mmd",2.53030848004462,1.08596635206891e-49,3.94809100441051e-47,4.13542144736961,23.4329508225557
"Casp3",2.49638703465541,1.15463571394345e-49,4.12141969747961e-47,24.6036406190082,134.374037311326
"Smap2",-2.4645067200949,2.05720617267255e-49,7.21197706819776e-47,208.493034852494,36.5984402152837
"Heatr9",-6.62034746263598,3.5956878142533e-49,1.23843058191966e-46,9.69025501607518,0.0870558694106793
"Lratd1",4.29637283435048,5.98573275176443e-49,2.02606733418343e-46,0.578734363008791,12.1575171178909
"Synpo",7.05052040104075,8.10637702977517e-49,2.69736260760248e-46,0.0259090416712938,4.34562966929752
"Pitpnm2",3.13243981407935,4.99104910663528e-48,1.63307126769107e-45,0.474775380081659,7.57150294646245
"Bdh2",7.13856268639219,5.16707413737398e-48,1.66295081090043e-45,0.0262577176468091,17.2662474488747
"Ccdc28b",2.83442921280532,6.85135409120089e-48,2.16944812126542e-45,12.750842057185,100.652630039489
"Aqp9",-4.30386094417678,9.00195836755223e-48,2.80518169320294e-45,8.94388426095699,0.446134810788142
"Fcna",-4.77802784249005,2.85715166065381e-47,8.76431271905557e-45,10.7919433335379,0.430436516144736
"Plk2",5.53124705456155,6.27203023410173e-47,1.89434611624439e-44,0.110327241278423,4.97186468758193
"Ptprs",3.18160608489825,7.76841498581256e-47,2.31075034850715e-44,0.637933138097043,5.53999389510233
"Ifit1bl1",-3.74527646081597,1.53517174921208e-46,4.49828235530323e-44,54.5875693581929,3.76153745570906
"Cxcr6",-3.497310458557,5.12448193963388e-46,1.47946807998371e-43,194.126828894775,16.0258186517282
"Egr3",4.21242836057007,5.95066451007314e-46,1.69309341538777e-43,0.167576155488735,3.12893118673416
"Dtx1",-3.94175855294946,6.82345055727244e-46,1.91368544771961e-43,12.8623626052744,1.00654866359639
"Ms4a1",-3.42269651986098,1.75435128735134e-45,4.85090485539176e-43,10.0060551530699,0.925999040992695
"Chst10",-2.46118204948819,2.71967724253034e-45,7.41565328129939e-43,15.0475880568064,2.5160871549358
"Tjp2",3.54572985056929,5.23584757762813e-45,1.40808437868487e-42,0.301913875683538,3.09420035024465
"Tox",3.49996739221218,1.09260731084589e-44,2.89865766574682e-42,9.82808127632165,102.326091251658
