"","log2FoldChange","pvalue","padj","meanTPM_E7","meanTPM_L7"
"Nrn1",8.41166488604775,2.7437117862208e-208,5.40950215771294e-204,0.529270671466842,181.105819439334
"Spp1",9.03797137252357,7.31216037785796e-173,7.20832770049237e-169,0.196424582970657,111.223053167454
"Spry2",6.30167554457223,1.40078175297054e-145,9.20593768052241e-142,0.709953958038936,61.501271599206
"Cd200",6.50606437104538,1.04625707716798e-129,5.15700113336098e-126,4.78516415221544,441.699560537241
"Nr4a2",6.20348571239296,1.77546778338295e-125,7.00102456343564e-122,0.36542671629705,24.5042323910468
"Wdr95",-6.50915606549816,2.98801203375465e-119,9.81860754291779e-116,28.5423405758705,0.338049151808733
"Slc9b2",7.42468392765584,2.88742202186712e-117,8.13263036901888e-114,0.147383124655831,101.689805063879
"Nrgn",6.60748827932549,1.11239316566056e-112,2.74149295677046e-109,2.17101038070858,184.586912595646
"Tnfrsf9",6.16175089560478,1.42659595358399e-109,3.125196202318e-106,2.65558391494719,206.043541720608
"Itih5",5.18383503986604,5.01685912238032e-103,9.89123944568503e-100,0.164489695046329,6.54390129706448
"Xcl1",8.23126050133764,6.02513835980477e-97,1.07992389001737e-93,3.61987122461795,1185.0182280934
"Pdcd1",4.20528278385186,7.9429543738266e-95,1.30502740361971e-91,20.3806042676541,413.833372074994
"Tnfrsf4",4.89434522642416,3.02506875787996e-92,4.5878658177201e-89,1.50696331284891,46.7716642670391
"Art3",4.96434343838707,2.0271079765364e-84,2.85474720467083e-81,1.63391905706717,64.2475089124201
"Fam81a",6.42906695094508,2.62336332278868e-80,3.44814875147344e-77,0.775174134703422,11.8470000102828
"Gzmm",-5.37129167577921,8.63716409434459e-80,1.06431454552561e-76,94.4763447246457,2.25721470204214
"Hid1",-5.63269794675238,5.12145139991968e-79,5.93967857651862e-76,24.4147470880294,0.522650667571234
"Nuf2",4.50156822270789,1.92020215904691e-76,2.10326143154272e-73,1.09584641013914,29.7234590281967
"Srgap3",5.13635029764309,5.50052577542483e-76,5.70780874675136e-73,0.18590323574373,6.19825054417451
"Hist1h2ap",4.93676405574384,1.04350068005551e-74,1.02868297039872e-71,25.5613592692662,847.44967147489
"Lag3",4.66006434949835,9.48812194261849e-74,8.90799105812696e-71,6.42695091194607,169.390656058361
"Trpm1",6.45602563485026,1.66752879864849e-72,1.49440899064334e-69,0.256531578412371,23.5730423740079
"Zbtb32",4.07061334637138,2.3498360059216e-72,2.01432029098914e-69,11.4537054316591,179.707037464755
"Ctla2a",-5.57618411642628,2.50968898532475e-72,2.06170950144428e-69,706.5130125658,14.4722433576409
"Gpm6b",4.53266365203172,7.3308342104998e-71,5.78138909176856e-68,0.419518334784691,12.9411154520552
"Twsg1",3.47722544119187,4.05919927030107e-69,3.07812203127907e-66,1.03994642933479,13.0638802980836
"Arl4c",-3.83698261084571,3.31188366111612e-68,2.41841104676168e-65,33.4882022726326,2.57790744118542
"Chst2",3.72290666526773,5.23917024766389e-68,3.6891243072479e-65,0.506717522005762,7.34392583073233
"Angptl2",7.81755673694249,8.29019632138537e-68,5.63619002318738e-65,0.120649425822862,27.2092538918402
"Myo1e",4.38723269064667,1.14804607985448e-67,7.54495883680363e-65,1.03929620225948,21.689583279532
"Gm45716",5.96661042141071,2.92178301857028e-67,1.8582539998107e-64,0.296137604837869,20.8069326766397
"Tox",3.4238229944408,6.47991220762991e-67,3.99243590892598e-64,9.80409167456495,119.084376093864
"Pclaf",4.81647859625501,1.32161944096398e-64,7.89607542365022e-62,5.94771052807526,181.259797031817
"Chek1",4.27133013575997,6.776560668618e-64,3.92960794536684e-61,0.991844866693999,16.0162140485681
"Adgrg5",-3.70504597759215,4.39757897409743e-63,2.47721905866585e-60,21.049894612158,1.81032145200147
"Nr4a1",4.91488730520546,9.76387096617782e-63,5.34734666581005e-60,1.85506036856927,61.5790448579885
"Cdc25c",4.51741061177623,1.20463374160105e-61,6.41906995929899e-59,1.40748013211266,16.7837923954509
"Fbxo5",3.57668611051274,9.71487179771344e-61,5.04048453588732e-58,4.04929555814948,59.4373272907282
"Arhgef9",5.05864706978056,1.18228566010959e-60,5.97690873710789e-58,0.13563990364908,8.87157937580048
"Bcat1",6.66917620929662,1.43552617611809e-60,7.07570852208607e-58,0.326288322328586,26.1187365082629
"Ckap2l",4.42422215735806,1.83918257574811e-59,8.84422528376822e-57,0.974914055474755,23.1135360044788
"Shcbp1",4.1466602602677,1.23119613967194e-58,5.77958644994571e-56,1.30361130660908,27.1036001869515
"Kif2c",4.80388102674765,1.41710002499208e-57,6.49756839366134e-55,1.24445175881037,25.6943008394638
"Slco3a1",-3.44388027576887,1.82446198655025e-57,8.17524830155107e-55,16.3332562769621,1.50897014350472
"Csf1",5.90460522123629,1.64988780044996e-56,7.2287084163714e-54,0.130390382249682,3.99644922776947
"Plk2",5.45538892768312,9.90566633522453e-56,4.24565472750624e-53,0.210889126399928,8.41200106910098
"Ccnb2",4.77020941707074,3.66084823611505e-55,1.53568688985626e-52,5.0898466897762,151.271757037825
"Kif15",4.00055699429083,4.42193505730189e-55,1.81630982478675e-52,1.66041255521914,21.2582711752662
"Rad51",4.40696670644315,6.90500925175544e-55,2.77835025321654e-52,1.01060211215144,21.7203736207376
"Lclat1",4.29685723283326,2.57255254804186e-54,1.01440892074386e-51,1.36060113115376,26.5896599461067
"Fignl1",3.95330313162185,3.14047546695839e-54,1.21407086875591e-51,2.69793054351501,43.2376000935915
"Gucy1a1",6.45023669053807,6.02813963879369e-54,2.28559232920108e-51,0.0840269720626589,3.40104882422188
"Nusap1",4.10980285408941,6.67083840847883e-54,2.48155188795413e-51,2.73548005797236,53.2701968332368
"Eno3",4.65555958354375,7.28633713804805e-54,2.66032264840288e-51,3.95128122838597,102.170714108033
"Capg",3.28340311627018,9.28421588191938e-54,3.32813818778041e-51,23.3864414839265,254.064862149303
"Rad54l",3.67833890107775,9.5846600500611e-54,3.37448495619651e-51,2.91825060155042,19.2344859597151
"Rtn4",3.1964261063947,1.2460813391643e-53,4.31012976894092e-51,6.86332457691449,85.7331949725301
"Spry1",9.40224243188782,3.35883387033649e-53,1.14177187219921e-50,0.0222822932818892,15.5520899497052
"Lratd1",4.11081570806461,3.97739634792865e-53,1.32912451518239e-50,0.772302595028959,14.7974821158877
"Ckap2",3.89899681528749,4.54400491903964e-53,1.49316001639643e-50,1.22180510981727,14.6234676224734
"Plk1",4.27318222096632,7.89137392801145e-53,2.55059554696186e-50,2.51495450886413,52.7269230296053
"Ttk",4.63716083204164,9.34106676601383e-53,2.9704592315924e-50,0.263159241770301,7.16782656522737
"Ubash3b",3.39867631454417,4.83729765517252e-52,1.51384381856161e-49,5.55989392880378,64.0119321879824
"Gstm1",3.29756074883648,1.1247187934194e-51,3.46483683297765e-49,2.005341561785,22.7362051498778
"Birc5",4.37856308590465,1.72243867191851e-51,5.22455397777621e-49,7.72949117163065,196.523729577287
"Ccna2",5.0324516593487,2.23078939889269e-51,6.66397633160125e-49,0.96432066556411,30.3373049050035
"Rgs16",5.93219073157574,2.49884431346313e-51,7.35331559466256e-49,0.0863492915571923,5.97391562581386
"Litaf",3.00858576132365,2.00017233533947e-50,5.7993232005225e-48,10.3612265758975,87.1980906473389
"Mcm10",4.65384718847069,2.58279453003394e-50,7.3800546310361e-48,0.580291570597706,15.2180277524981
"Pbk",4.68850147735963,3.3098577864903e-50,9.32245087406325e-48,1.78130989080463,48.2083940382138
"Dtx1",-4.24218259412296,7.64074213305684e-50,2.12175875908942e-47,19.8067876293692,1.3750421798667
"Synpo",6.11488401386056,1.54495840234246e-49,4.23061109174776e-47,0.0723675123717571,4.63962546391128
"Bub1",4.76344404201358,2.07829758300268e-49,5.61311166390149e-47,0.304494200892682,7.72412829731183
"Baiap3",-3.70599639630382,2.13561404679446e-49,5.68996845224319e-47,64.7008606218006,5.63965141985331
"Mxd3",4.80648298764901,2.32365472752117e-49,6.10842354770764e-47,0.759038273217739,23.5075600832404
"Spc25",3.18184531266884,4.92442660634842e-49,1.27749993382586e-46,4.86781981215376,49.5206551883886
"Rad54b",4.56360742622411,5.21380659219656e-49,1.33500533469802e-46,0.184164223601288,6.1321197755952
"Cdca8",4.1530851117675,6.32159748280317e-49,1.59790533296086e-46,5.70972482866576,114.136336164156
"Tnfrsf25",-4.56974207187083,8.04182943862896e-49,2.00699631913935e-46,18.0004411029983,0.799476508906211
"Cep55",3.93858151242078,1.18382089098037e-48,2.91752658582111e-46,0.905576685272901,14.6682375062668
"Perp",4.3810781047793,4.13095578575905e-48,1.00550523792624e-45,0.454759495070008,10.7249829828103
"Mmd",3.18732629258225,8.3569796752039e-48,2.00934403995512e-45,2.78972544750572,27.789573949269
"Ctla2b",-3.41231977009673,1.33912232801899e-47,3.18098021918342e-45,84.2766683629192,9.33173775127948
"Tpx2",4.26056311619854,1.43080322296703e-47,3.35829956476406e-45,1.3656736181903,33.9691368325305
"Cenpm",4.32421399011429,1.41093004868725e-46,3.27269374587269e-44,2.32507657564813,50.9088386395022
"Cdca2",3.77399361340521,3.86501497890512e-46,8.86077154931318e-44,2.6370484116896,32.951960913159
"Kif20a",4.64946097395311,7.47942942986454e-46,1.6949934556231e-43,2.05092270852337,50.4388489795264
"Dgkg",4.89095830945693,8.97397109363901e-46,2.01057743275212e-43,0.0834933017869332,3.10954584989604
"Fos",5.80112721651112,1.38094196872716e-45,3.05917436577805e-43,0.261162575825891,16.8856004519208
"Nek2",5.13454686790366,1.68662198449993e-45,3.69482656071118e-43,0.569646443221109,9.62308833367656
"Knstrn",3.13322785729029,1.80761654918753e-45,3.87612923494541e-43,6.90892229595527,69.0452434223996
"Spc24",3.43314130544922,1.80870303111675e-45,3.87612923494541e-43,5.23750718900043,81.2135185645009
"Parpbp",4.41562932783327,2.43019808366948e-45,5.15201993737931e-43,0.369943336271525,9.36061199868423
"Zan",3.65050592494218,4.51472526637286e-45,9.4693961012561e-43,0.277325562325889,1.50054497792956
"Gstt3",3.71082258107267,6.31468925452801e-45,1.31053066676078e-42,1.49991207086737,20.2752564203021
"Bdh2",6.76408516297225,7.51468064674264e-45,1.54332753782477e-42,0.0513024620519888,19.4485287435964
