"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L35"
"Klrb1c",4.6198054783811,6.3683936874035e-89,1.02970557531627e-84,7.22869379612969,175.084497278387
"Ifi27l2a",-3.38245993838254,3.80710960445901e-84,3.07785775972489e-80,5738.52843459285,547.122996790335
"Gbp10",-4.30630145466409,4.75876161902177e-83,2.56481388726543e-79,40.7099326214348,3.1861096465527
"Trgc4",4.5421216826476,7.16160686876948e-41,2.89490053652834e-37,17.7215520796368,430.151554803333
"Ifit1",-2.92831498029485,1.30626623718226e-35,4.22420375779998e-32,53.1269037788132,6.8481353207366
"Klrb1a",4.26017682083933,6.82452610349564e-35,1.83909604279035e-31,5.6745749686355,102.866009877642
"Ifit3",-3.06024057253232,1.79333163718705e-28,4.14233989166821e-25,166.697777381683,19.5532949396586
"Matk",2.33314820543358,2.38018767013164e-28,4.40057413302854e-25,4.93083856027629,26.5364935191837
"Xaf1",-1.77712572347045,2.4494506275748e-28,4.40057413302854e-25,258.320940785536,71.4754983457552
"Cdh1",2.82567902334868,3.77809193997559e-28,6.10879685774653e-25,1.27756810979412,9.48408603851334
"Gbp6",-2.60127958570228,1.85696827487143e-27,2.50211000303301e-24,72.1272466524514,11.3498136601715
"Mx2",-2.56035401401798,1.79964035152039e-27,2.50211000303301e-24,6.17219011369408,1.0752038077688
"Capn11",-4.96830887849118,3.86659841096115e-27,4.80915613129467e-24,2.32341142877949,0.0706528005586595
"Gm12253",-2.20244874950676,2.73665498372735e-26,3.16064103084911e-23,43.2026740128369,9.1989230009814
"Ccdc136",3.61282311791906,3.45623146540559e-26,3.7255871042762e-23,1.10324286573543,12.438581082907
"Phf11c",-1.68134771059315,3.50482466693144e-24,3.5418443774759e-21,43.5412614576574,13.4072448836183
"Trgv1",4.25707916828142,2.60836840461023e-23,2.48086521965546e-20,2.03430706473969,42.2558679845298
"Bst2",-2.12992843233285,2.65245332703874e-22,2.38263988027163e-19,192.051247461764,42.7278739587196
"Isg15",-2.05040019726033,3.64406859909974e-22,3.10110237783388e-19,137.090352128675,32.4517265837218
