"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L21"
"Kif2c",-2.75020140096913,3.55097059716573e-37,6.4663174574388e-33,19.829895849946,2.90337097047099
"Ckap2l",-2.86955463016078,2.96148282651108e-35,2.69643011353834e-31,20.6549947616327,2.45022001644525
"Shcbp1",-2.7462427876412,2.65664284181056e-32,1.61258220497901e-28,22.9313076531862,2.88812021468316
"Pbk",-2.40693999104013,1.66473919846266e-30,7.57872520100127e-27,32.0024847826965,5.33092928159835
"Parpbp",-2.62650888963886,3.42083141343227e-29,1.24586680077203e-25,7.8525065642767,1.31195586732282
"Aurkb",-2.28615470544108,9.39278296169943e-27,2.44346539617924e-23,43.7825502318721,7.71950734248687
"Fbxo5",-2.27582274068279,9.23836400669428e-27,2.44346539617924e-23,44.8651919059696,8.18106679242047
"Kif11",-2.78050684150992,2.7455866390106e-25,6.24964158704788e-22,13.0082131832,1.63537575838758
"Nuf2",-2.23285530569775,6.36277917418502e-25,1.28740231957677e-21,25.658702504376,4.1704415295045
"Kif20a",-2.36619772325532,1.18195907940111e-24,2.15234748358941e-21,28.7003875813568,4.65623130852817
"Kif14",-2.58152314279314,4.46735388938385e-24,7.31143753568645e-21,2.40671565807023,0.500443527192231
"Nusap1",-2.56346704356247,4.81808074839305e-24,7.31143753568645e-21,51.1242635714648,7.47337247654742
"Spc25",-2.01458985459579,6.82051950331411e-24,9.55397385810384e-21,48.2572827684225,10.1351463457054
"Spdl1",-2.68750637586716,7.66386027369011e-24,9.96849254170693e-21,6.49881655035759,0.812729051560364
"Ncaph",-2.24428515172183,1.0997857868917e-23,1.33513994528653e-20,28.3453414547301,5.16503048654317
"Bub1",-2.82582736402231,2.16488256797599e-23,2.31897126840251e-20,6.4035175057771,0.903933562632071
"Pimreg",-2.59253478931507,2.0448295558047e-23,2.31897126840251e-20,26.3080409213074,3.70626793483083
"Top2a",-2.35184621561296,3.33796843413263e-23,3.37691139919751e-20,82.215880957912,18.7496088970163
"Ccnb2",-2.39024889504521,2.69800834288283e-22,2.58582799599454e-19,116.065412296054,19.0705447378538
"Ltf",2.41618252112357,2.92027356005472e-22,2.65890907642982e-19,6.83694660107879,30.0855822230103
"Depdc1a",-3.25147715193586,3.67689603588855e-22,3.18839413397765e-19,10.4024738202068,0.829659231488278
"Neil3",-2.76979985710659,5.87786940104643e-22,4.86527280877525e-19,13.6411784879378,1.60893105760635
"Gtse1",-2.2632214058633,6.75436913383583e-22,5.34769834465871e-19,9.21888669242591,1.65396390192571
"Fcrla",3.38388329225135,1.35445612068703e-21,1.02769358157128e-18,0.431565810369589,5.32701160848405
"Ncapg",-2.90847154505871,3.71316463148556e-21,2.70466911757408e-18,22.0380147038135,2.51529397028886
"Fignl1",-2.12728711564386,4.63944944658901e-21,3.24939901624561e-18,29.7886826016349,6.15052561378122
"Fcer2a",2.71364266496087,5.1641292202308e-21,3.48291826297789e-18,1.1108679806508,6.60694259935474
"Plk1",-2.39880638093622,1.01337398166929e-20,6.59055007364206e-18,30.4623920986598,4.87675451577973
"Kif22",-2.00790697295605,1.32826506303849e-20,8.34058855101064e-18,46.5700111591225,10.2670955012317
"Ckap2",-2.24194025645035,1.70185398326928e-20,1.03302536784445e-17,15.7276303033371,3.23517239734856
"Pif1",-2.83610397575508,1.7600265922222e-20,1.03387368530214e-17,2.83359470283895,0.3309701286407
"Tpx2",-2.41740765801517,9.22576071093102e-20,5.25003445456418e-17,28.5845447002143,3.8982252040035
"Esco2",-3.03080368687982,1.09155422975031e-19,6.0233947041676e-17,10.5191176823069,1.82066271262634
"Spc24",-1.95791629242254,7.17234269687683e-19,3.84142236794491e-16,64.8679341310964,11.5957287166599
"Ska1",-2.53331299588236,9.00843072535739e-19,4.68695781453595e-16,14.2400402005976,1.95494486119501
"Aspm",-3.29574562339284,9.75396447420502e-19,4.93388036320204e-16,2.63182583397993,0.263889562160655
"Prr11",-2.23137770197204,1.39903566275714e-18,6.88552416724528e-16,5.82322560676692,1.06510544866261
"Kif4",-3.17057893805273,2.36405512785673e-18,1.13288010205977e-15,5.75402463759545,0.534155644144763
"Rad51ap1",-2.41664471533466,3.62246728862944e-18,1.69141357246005e-15,25.4614229452674,3.6890401747593
"Ccnb1",-2.04880061026486,6.9693821084958e-18,3.17281120489271e-15,68.7498227721489,14.2019869519385
"Gm4739",-1.64128241535302,8.39448440510569e-18,3.72837953699938e-15,813.443587216178,222.682162459029
"Hmmr",-2.69364156237815,1.4101924412296e-17,6.11419151304548e-15,14.0304455676459,1.90478655507222
"Kif23",-2.5577195341324,2.34554411871534e-17,9.93310660507125e-15,27.0948227369417,4.26226378769508
"E2f8",-2.34088740935693,2.78950176685573e-17,1.1544733448737e-14,4.04156442960005,0.69130111560265
"Rrm2",-1.87680355532282,2.86682864294206e-17,1.16010999084389e-14,136.411699926819,32.063012375724
"Camp",4.00049140563561,3.5152581780006e-17,1.39158372655198e-14,2.98839302993474,47.2866231648853
"Cdca2",-1.63798881456143,5.27504488594257e-17,2.04379930580881e-14,35.3879317506496,10.1733217668723
"Stil",-2.76746059358023,6.55756955030277e-17,2.48777794814611e-14,4.16412480996202,0.533919996766137
"Cdca8",-2.11169097792183,8.64457251726072e-17,3.21260541916975e-14,72.6775182493821,14.1676591291044
"Ttk",-2.85067784368008,1.03883473852783e-16,3.78343611771834e-14,8.8803818131304,1.17564267672032
"Prim1",-1.62818984954832,1.25254017239663e-16,4.47230520379268e-14,54.9470648167748,15.4420310550589
"Ighd",1.9901189284882,1.44648488576503e-16,5.06547880188098e-14,14.1023084757222,51.9256628662483
"Pclaf",-2.31816683185401,1.86405086796828e-16,6.40459741617026e-14,127.464217637978,22.1872251332532
"Ect2",-2.31078972687688,2.56862509853095e-16,8.66197463782381e-14,9.93000308101126,1.84077758916296
"Sgo1",-2.51671095531172,3.13698422913303e-16,1.0386269602275e-13,9.43038776200911,2.02838820692416
"Aurka",-1.79002085305312,3.26237741099778e-16,1.0608552259691e-13,22.044761518833,5.46719044707364
"Cenpi",-2.02480883586,4.69137507317821e-16,1.49877087864167e-13,8.02522520751658,1.87352498047972
"Cd79a",2.78334447257363,7.43641745075681e-16,2.32438857798582e-13,5.84406559461823,38.3066047759555
"Spag5",-2.1998038365085,7.53096793526433e-16,2.32438857798582e-13,10.7394601419831,2.67803051246881
"Chek1",-2.26589561576148,7.80053485471447e-16,2.36746232840584e-13,14.6279036054546,2.67349661455559
"Cdk1",-1.98759252421202,1.07379008956953e-15,3.20552746410839e-13,105.565222711624,23.2389227567754
"Mis18bp1",-2.92048908876017,1.27921917551108e-15,3.75719051388014e-13,9.90800867220248,1.10467067302149
"Cdca5",-2.13221636205214,1.4532419927214e-15,4.20056137896138e-13,19.7331463371195,3.89934804673716
"Cit",-2.09583427727108,1.57158937331694e-15,4.47166288876585e-13,12.4630312310305,2.25569035045477
"Fancd2",-2.45234958813002,2.02558230058621e-15,5.67474672210383e-13,3.34773648561498,0.707620654083093
"Hmgb2",-1.59902993271756,2.13439104662471e-15,5.86275151421858e-13,412.16699987131,109.642014460773
